COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,N-to-O,S%,Halogen%,Metalloid%,TDU,DUC,TE,AWE,N_CO2(mol/kg),D_CO2(10^-8 m2/s),P_CO2(10^4 Barrer),,
19001N3.cif,8.81151,6.25088,0.422471,6291.78,1.87923,0.840086,1,0.523809524,0.380952381,0.047619048,0,0,0.047619048,0,0,55,0.625,0.047619048,0.144761905,16.58527663,1.288993829,22.66254912,,
19022N3.cif,10.98008,8.27158,0.343281,6662.78,2.44721,0.860065,1,0.532467532,0.311688312,0.051948052,0.051948052,1,0,0.051948052,0,105,0.640243902,0.155844156,0.500779221,12.32788802,2.069629922,22.49971242,,
18020N3.cif,17.5734,14.36485,0.156205,8393.65,5.87985,0.931754,1,0.531914894,0.425531915,0.042553191,0,0,0,0,0,59,0.59,0.042553191,0.129361702,7.496722133,6.75967626,22.0296734,,
14050N3.cif,13.26023,8.62197,0.394807,5191.51,2.0066,0.853166,1,0.565217391,0.434782609,0,0,0,0,0,0,49,0.628205128,0,0,15.75435614,1.378328436,21.84672338,,
16112N3.cif,25.15287,15.93631,0.188209,6559.23,4.81199,0.925076,1,0.463414634,0.341463415,0.048780488,0.048780488,1,0,0.048780488,0.048780488,64,0.561403509,0.146341463,0.510243902,13.0044638,3.204765784,21.67310311,,
20113N3.cif,28.27167,24.10888,0.102519,8807.1,9.2067,0.952334,1,0.521367521,0.41025641,0.034188034,0.034188034,1,0,0,0,145,0.594262295,0.068376068,0.221538462,9.539759212,7.742016416,21.53771881,,
20115N3.cif,10.65907,9.7459,0.336368,8201.79,2.45083,0.862405,1,0.521367521,0.41025641,0.034188034,0.034188034,1,0,0,0,145,0.594262295,0.068376068,0.221538462,14.95737558,1.651811463,21.40702736,,
16130N3.cif,31.72634,22.10199,0.146333,6295.71,6.37587,0.960091,1,0.612903226,0.258064516,0,0.086021505,0,0,0,0.043010753,136,0.795321637,0.084805654,0.291731449,10.58659787,4.783954424,21.25262974,,
18143N3.cif,35.0199,30.43642,0.109984,8323.02,8.55381,0.948647,1,0.58490566,0.377358491,0.037735849,0,0,0,0,0,124,0.666666667,0.037735849,0.114716981,8.889548745,7.632915532,21.14554441,,
19402N3.cif,6.34336,5.7532,0.46182,7409.18,1.64666,0.801027,1,0.547169811,0.377358491,0.075471698,0,0,0,0,0,73,0.629310345,0.075471698,0.229433962,18.37960709,1.027185912,20.86026013,,
19072N2.cif,8.10224,7.36122,0.511212,5148.64,1.50798,0.824032,0,0.523809524,0.285714286,0.142857143,0.047619048,3,0,0,0,131.5,0.664141414,0.19047619,0.598095238,16.74574644,0.981985704,20.69042177,,
19000N3.cif,19.29611,16.64848,0.207045,6282.28,4.34959,0.919865,1,0.523809524,0.380952381,0.047619048,0,0,0.047619048,0,0,55,0.625,0.047619048,0.144761905,8.641550272,4.187330909,20.58412147,,
07010N3.cif,9.04156,7.98975,0.420553,5082.56,1.85732,0.860815,1,0.510204082,0.326530612,0,0.081632653,0,0,0,0.081632653,205,0.683333333,0.081632653,0.280816327,23.13430083,0.818253631,20.46866094,,
20111N3.cif,12.48955,10.59437,0.220993,8236.2,4.00483,0.911316,1,0.542857143,0.380952381,0.038095238,0.038095238,1,0,0,0,73,0.640350877,0.076190476,0.246857143,8.854402041,3.824934372,20.37254515,,
21700N2.cif,19.39136,13.42722,0.223906,6360.9,3.95184,0.900475,0,0.515151515,0.375757576,0.072727273,0,0,0,0.024242424,0.012121212,197,0.579411765,0.096969697,0.317575758,9.154614912,3.536450216,19.49663096,,
17161N3.cif,16.46047,13.64478,0.331563,5815.1,2.53207,0.874279,1,0.579365079,0.349206349,0.063492063,0,0,0,0,0,197,0.674657534,0.063492063,0.193015873,11.75176305,1.909603768,19.43018552,,
19420N3.cif,20.52716,19.1946,0.231505,6100.21,3.80078,0.903466,1,0.555555556,0.395061728,0.049382716,0,0,0,0,0,225,0.625,0.049382716,0.150123457,9.362773151,3.251566268,19.01883234,,
15200N3.cif,8.20958,7.60329,0.55678,4995.9,1.35641,0.818357,1,0.517241379,0.275862069,0.068965517,0.137931034,0.5,0,0,0,43,0.716666667,0.206896552,0.684137931,18.40971105,0.750891941,18.81331791,,
17160N3.cif,21.8567,18.71003,0.165781,6688.85,5.5543,0.938093,1,0.579365079,0.349206349,0.063492063,0,0,0,0,0,99,0.678082192,0.063492063,0.193015873,8.860556268,4.547879619,18.71824595,,
15211N2.cif,23.73244,21.04675,0.309959,5270.79,2.7565,0.914725,0,0.5625,0.25,0,0.125,0,0,0,0.0625,169,0.782407407,0.125,0.43,15.65779963,1.403320298,18.60787966,,
20564N3.cif,10.39141,8.99001,0.501099,4268.8,1.5296,0.833738,1,0.5,0.333333333,0,0.125,0,0,0,0.041666667,65,0.677083333,0.12,0.4128,15.81299943,0.940772433,18.56378462,,
20660N2.cif,23.86923,22.83776,0.289383,6047.61,2.97219,0.900433,0,0.542372881,0.305084746,0,0.101694915,0,0,0,0.050847458,93,0.7265625,0.101694915,0.349830508,14.93058706,1.593324163,18.51484134,,
17163N3.cif,16.30857,13.66038,0.310547,6138.54,2.70071,0.874094,1,0.590551181,0.362204724,0.047244094,0,0,0,0,0,203,0.676666667,0.047244094,0.143622047,11.85480951,1.925534726,18.50742351,,
20370N3.cif,12.17549,10.2871,0.325537,5830.76,2.5492,0.846398,1,0.526315789,0.421052632,0.052631579,0,0,0,0,0,93,0.58125,0.052631579,0.16,9.125267984,2.435360693,18.28935777,,
21110N3.cif,23.05723,21.65583,0.215582,6769.58,4.11055,0.89893,1,0.584269663,0.348314607,0.06741573,0,0,0,0,0,211,0.676282051,0.06741573,0.20494382,9.46016168,3.166310788,17.33824043,,
21426N3.cif,13.74326,11.77675,0.200665,10350.6,4.41083,0.886417,1,0.569892473,0.365591398,0.064516129,0,0,0,0,0,35.5,0.669811321,0.064516129,0.196129032,8.013649655,3.993427394,17.00201524,,
13170N2.cif,25.51802,24.69244,0.309017,4128.08,2.75823,0.906642,0,0.551724138,0.287356322,0.091954023,0.045977011,2,0,0,0.022988506,135,0.703125,0.137931034,0.437701149,16.09389156,1.259588474,16.96377507,,
21192N2.cif,48.33082,47.9372,0.272749,3223.21,3.25134,0.925782,0,0.46875,0.375,0.09375,0.0625,1.5,0,0,0,100,0.555555556,0.15625,0.5,11.17588079,2.007172848,16.9181544,,
14072N2.cif,21.4664,20.98216,0.312968,4492.7,2.70641,0.87207,0,0.571428571,0.346938776,0.040816327,0.040816327,1,0,0,0,153,0.683035714,0.081632653,0.264489796,12.2081157,1.683737725,16.75671606,,
11031N2.cif,26.99882,26.65939,0.281663,4459.83,3.05976,0.904565,0,0.571428571,0.301587302,0.031746032,0.063492063,0.5,0,0,0.031746032,209,0.725694444,0.095238095,0.314920635,14.78307344,1.454282085,16.36053569,,
20500N3.cif,12.1317,9.18261,0.443234,4573.72,1.76579,0.783959,1,0.529411765,0.294117647,0.058823529,0.117647059,0.5,0,0,0,151,0.699074074,0.176470588,0.583529412,12.07820594,1.297910943,16.27002771,,
20118N3.cif,12.28917,9.84553,0.238813,8288.52,3.65081,0.893995,1,0.503875969,0.434108527,0.031007752,0.031007752,1,0,0,0,73,0.561538462,0.062015504,0.200930233,9.09419461,2.644554528,15.33643346,,
13161N2.cif,19.0418,17.92977,0.398037,4040,2.07755,0.854391,0,0.571428571,0.266666667,0.076190476,0,0,0,0.076190476,0,161,0.670833333,0.152380952,0.534857143,16.42093864,0.918437181,15.31941196,,
19071N2.cif,10.34676,9.66512,0.517673,3829.55,1.48468,0.813011,0,0.523809524,0.285714286,0.142857143,0.047619048,3,0,0,0,88,0.666666667,0.19047619,0.598095238,14.96656191,0.806383681,15.17156086,,
15021N2.cif,22.4952,21.57937,0.30371,5092.59,2.82309,0.871202,0,0.526315789,0.298245614,0.105263158,0.070175439,1.5,0,0,0,81,0.675,0.175438596,0.561403509,13.27417713,1.440577676,15.11251675,,
15090N2.cif,19.24813,18.19731,0.351937,4327.57,2.33644,0.849121,0,0.545454545,0.345454545,0.072727273,0.036363636,2,0,0,0,157,0.654166667,0.109090909,0.346181818,13.75271575,1.210490653,14.85932108,,
20311N2.cif,34.43726,33.82956,0.169088,7869.73,5.35816,0.913189,0,0.565217391,0.391304348,0.043478261,0,0,0,0,0,100,0.641025641,0.042857143,0.130285714,10.51517568,3.030966303,14.69892758,,
13020N2.cif,28.38023,27.93603,0.2551,4422.43,3.42814,0.911489,0,0.557692308,0.269230769,0,0.115384615,0,0,0,0.057692308,89,0.767241379,0.115384615,0.396923077,14.23231878,1.462900502,14.45995338,,
21191N2.cif,45.88943,45.79396,0.247235,2935.7,3.38091,0.762481,0,0.5,0.326086957,0.108695652,0.065217391,1.666666667,0,0,0,86.5,0.626811594,0.173913043,0.554782609,2.613863788,9.806078061,14.43217635,,
15081N2.cif,18.54616,17.48587,0.349547,4342.98,2.35562,0.849233,0,0.545454545,0.345454545,0.072727273,0.036363636,2,0,0,0,157,0.654166667,0.109090909,0.346181818,13.61464046,1.19323466,14.40386454,,
15020N2.cif,23.97144,23.07162,0.288664,5057.42,2.96102,0.88301,0,0.524590164,0.344262295,0.098360656,0.032786885,3,0,0,0,161,0.62890625,0.131147541,0.411803279,14.25420046,1.31910461,14.31511687,,
20473N2.cif,55.49799,55.44839,0.262559,2359.27,3.28726,0.848138,0,0.571428571,0.387755102,0,0.040816327,0,0,0,0,223,0.663690476,0.040816327,0.140408163,5.168469492,4.157899636,14.29367626,,
17000N2.cif,21.9809,21.04411,0.390254,3472.7,2.08746,0.869738,0,0.613333333,0.28,0.053333333,0.053333333,1,0,0,0,277,0.752717391,0.106666667,0.3456,14.95508503,0.933437964,14.15222439,,
15072N2.cif,18.47163,17.39082,0.351193,4360.71,2.34686,0.850178,0,0.535714286,0.357142857,0.071428571,0.035714286,2,0,0,0,77,0.641666667,0.107142857,0.34,13.87185887,1.143644495,14.14802992,,
16312N2.cif,18.55352,17.47396,0.338509,4349.22,2.4472,0.853151,0,0.555555556,0.351851852,0.074074074,0.018518519,4,0,0,0,79,0.658333333,0.092592593,0.288888889,13.46138967,1.212819976,14.08305619,,
13160N2.cif,20.10144,19.04963,0.357515,4008.37,2.32292,0.869377,0,0.571428571,0.342857143,0.076190476,0,0,0,0,0,161,0.670833333,0.076190476,0.231619048,13.08971733,1.150647619,13.98265288,,
20401N2.cif,16.85759,16.50094,0.377713,6049.48,2.12018,0.831551,0,0.571428571,0.380952381,0.047619048,0,0,0,0,0,94,0.652777778,0.047619048,0.144761905,14.89033943,0.999275262,13.95902572,,
16390N2.cif,17.83727,16.65965,0.39048,3762.7,2.07759,0.858643,0,0.588235294,0.333333333,0.039215686,0,0,0.039215686,0,0,85,0.708333333,0.039215686,0.119215686,14.11843704,0.954350158,13.49336754,,
15241N2.cif,9.91917,9.19961,0.420398,5491.24,1.86143,0.793353,0,0.518518519,0.407407407,0.074074074,0,0,0,0,0,97,0.577380952,0.074074074,0.225185185,10.34793005,1.307178597,13.47504032,,
20403N2.cif,10.56287,8.57866,0.499717,4879.05,1.489,0.791507,0,0.595744681,0.361702128,0.042553191,0,0,0,0,0,153,0.683035714,0.042553191,0.129361702,14.76623769,0.760495432,13.26660809,,
16310N2.cif,9.70729,7.60702,0.48852,4361.74,1.5287,0.795617,0,0.5625,0.3625,0.05,0.025,2,0,0,0,119,0.661111111,0.075,0.238,17.09842302,0.657199751,13.04530991,,
19103N2.cif,9.37055,8.83148,0.610698,2517.82,1.16103,0.762666,0,0.631578947,0.263157895,0.105263158,0,0,0,0,0,109,0.756944444,0.105263158,0.32,13.98408365,0.649000353,12.62566845,,
17152N2.cif,23.3108,23.23814,0.516977,1926.4,1.42002,0.687176,0,0.49704142,0.408284024,0.041420118,0.053254438,0.777777778,0,0,0,96.5,0.574404762,0.094674556,0.309112426,3.90641538,3.003603394,12.45015514,,
21053N2.cif,20.47649,19.86472,0.352582,4021.52,2.29887,0.793313,0,0.545454545,0.404040404,0.02020202,0.03030303,0.666666667,0,0,0,269,0.622685185,0.050505051,0.165656566,7.507567994,1.978645389,12.41042059,,
19360N2.cif,27.67707,27.47121,0.478197,2012.54,1.62891,0.80291,0,0.571428571,0.380952381,0.047619048,0,0,0,0,0,94,0.652777778,0.047619048,0.144761905,7.405477103,1.434939318,12.18638358,,
11040N2.cif,41.2682,41.13741,0.336774,2293.27,2.47733,0.834731,0,0.608695652,0.260869565,0,0.086956522,0,0,0,0.043478261,133,0.791666667,0.086956522,0.299130435,6.636599465,2.173624104,12.11238586,,
19143N2.cif,11.37884,11.10758,0.638185,2281.36,1.11513,0.76207,0,0.65,0.2,0,0.15,0,0,0,0,133,0.852564103,0.15,0.516,13.76300029,0.600309652,12.00174661,,
15080N2.cif,11.01506,9.25289,0.416852,4813.94,1.88643,0.824157,0,0.492307692,0.353846154,0.030769231,0.092307692,0.333333333,0,0,0.030769231,81,0.6328125,0.123076923,0.411076923,17.08022715,0.683913614,11.98674545,,
21313N3.cif,40.84634,40.78327,0.327254,2407.86,2.59218,0.863105,1,0.607142857,0.357142857,0.035714286,0,0,0,0,0,142,0.696078431,0.035714286,0.108571429,7.957072646,1.769515498,11.87875269,,
18091N2.cif,11.35726,10.72445,0.480086,3917.03,1.57918,0.834523,0,0.606060606,0.303030303,0,0.060606061,0,0,0,0.03030303,361,0.752083333,0.060606061,0.208484848,17.19602443,0.575564495,11.84387874,,
21220N2.cif,27.65317,27.42777,0.533422,2012.08,1.3725,0.711957,0,0.575757576,0.333333333,0.060606061,0.03030303,2,0,0,0,157,0.688596491,0.090909091,0.288484848,4.839050035,2.142447432,11.76005968,,
21451N2.cif,37.94652,37.7935,0.331379,2547.69,2.52538,0.809784,0,0.636363636,0.272727273,0.045454545,0.045454545,1,0,0,0,130,0.773809524,0.090909091,0.294545455,4.444492213,3.299719896,11.75460258,,
21280N3.cif,38.09649,38.02998,0.290217,2793.52,2.95475,0.831827,1,0.5,0.358974359,0.083333333,0.057692308,1.444444444,0,0,0,47.75,0.612179487,0.141025641,0.451794872,5.916065344,2.743728346,11.70427411,,
15186N2.cif,44.62581,44.50279,0.363876,1916.32,2.28792,0.812419,0,0.566666667,0.233333333,0.033333333,0.133333333,0.25,0,0,0.033333333,160,0.784313725,0.166666667,0.56,5.368731033,2.438036502,11.55739309,,
19362N2.cif,36.72689,36.55998,0.373694,2171.05,2.19913,0.810908,0,0.583333333,0.333333333,0.041666667,0,0,0.041666667,0,0,118,0.702380952,0.041666667,0.126666667,5.239624784,2.400200727,11.38282375,,
19531N2.cif,35.06104,34.80543,0.200938,4926.27,4.4558,0.898054,0,0.571428571,0.38961039,0.038961039,0,0,0,0,0,114,0.647727273,0.038961039,0.118441558,9.128119405,2.312461576,11.37718749,,
21291N3.cif,23.32506,21.96829,0.378666,3315.09,2.19005,0.870396,1,0.561290323,0.348387097,0.051612903,0,0,0.038709677,0,0,233,0.66954023,0.051612903,0.156903226,11.9177269,0.965816713,11.33119973,,
19451N2.cif,33.81681,33.58969,0.354589,2405.41,2.29455,0.769095,0,0.528735632,0.402298851,0.057471264,0.011494253,5,0,0,0,164.5,0.596014493,0.068965517,0.214252874,4.301994588,3.226392797,11.30594573,,
20100C3.cif,50.96214,50.91801,0.328319,1956.73,2.61977,0.836915,1,0.5,0.394736842,0.078947368,0,0,0,0.026315789,0,124,0.543859649,0.105263158,0.317894737,4.544154292,2.995133506,11.17020577,,
15120N2.cif,43.26834,43.14098,0.323453,2425.9,2.61083,0.829762,0,0.527272727,0.345454545,0.090909091,0.036363636,2.5,0,0,0,110.5,0.635057471,0.127272727,0.401454545,13.53933917,1.023930847,11.11341087,,
19200N2.cif,9.19121,8.45677,0.505368,4048.61,1.48023,0.793684,0,0.5625,0.375,0.0625,0,0,0,0,0,70,0.648148148,0.0625,0.19,17.79795335,0.520223958,11.09252276,,
11030N2.cif,20.45694,18.68643,0.361779,4033.4,2.24767,0.822248,0,0.566037736,0.358490566,0.075471698,0,0,0,0,0,79,0.658333333,0.075471698,0.229433962,10.08363539,1.218858362,10.9202129,,
13100N2.cif,21.19983,20.79435,0.324166,3850.95,2.5693,0.85753,0,0.595744681,0.361702128,0.042553191,0,0,0,0,0,153,0.683035714,0.042553191,0.129361702,11.45770785,1.146006732,10.90225281,,
16340N2.cif,14.05373,12.59264,0.497826,3104.13,1.53459,0.79469,0,0.536585366,0.317073171,0.097560976,0.048780488,2,0,0,0,117,0.664772727,0.146341463,0.464390244,14.0115519,0.657021506,10.87816643,,
13130N2.cif,43.9063,43.78181,0.375995,1842.67,2.19998,0.805243,0,0.575757576,0.242424242,0.03030303,0.121212121,0.25,0,0,0.03030303,178,0.780701754,0.151515152,0.509090909,4.858774071,2.466223515,10.83634238,,
14073N2.cif,20.23652,19.93614,0.312968,4749.81,2.69554,0.866003,0,0.571428571,0.346938776,0.040816327,0.040816327,1,0,0,0,153,0.683035714,0.081632653,0.264489796,12.45686232,1.074272693,10.83320802,,
20321N2.cif,35.86719,35.71819,0.338126,2374.49,2.38349,0.740891,0,0.523809524,0.333333333,0.095238095,0.047619048,2,0,0,0,85,0.643939394,0.142857143,0.453333333,2.594293823,5.579793455,10.83140317,,
19364N2.cif,31.72995,31.51616,0.41142,2335.11,1.97006,0.783009,0,0.516129032,0.387096774,0.032258065,0.032258065,1,0.032258065,0,0,118,0.614583333,0.064516129,0.209032258,5.338627559,2.09933645,10.78396265,,
15150N2.cif,15.66522,14.44901,0.388869,4071.22,2.05658,0.825554,0,0.566666667,0.333333333,0.066666667,0.033333333,2,0,0,0,185,0.680147059,0.1,0.317333333,13.60161382,0.820929704,10.70680197,,
20310N2.cif,28.9663,28.4364,0.207679,5840.48,4.29143,0.905505,0,0.555555556,0.388888889,0.055555556,0,0,0,0,0,76,0.633333333,0.054545455,0.165818182,9.909480516,1.920225801,10.68811643,,
16300N2.cif,32.27168,32.11652,0.361341,2429.29,2.21016,0.754853,0,0.571428571,0.380952381,0.047619048,0,0,0,0,0,94,0.652777778,0.047619048,0.144761905,3.543466692,3.686049801,10.64103157,,
20590N2.cif,26.30732,26.08678,0.562376,1673.11,1.28537,0.695248,0,0.557377049,0.327868852,0.098360656,0,0,0.016393443,0,0,136,0.666666667,0.098360656,0.299016393,4.566626801,1.976809628,10.54244748,,
